size,lr,blk,epoch,head_frozen,PPL,mean_similarity_score,std_similarity_score,min_similarity_score,25%_similarity_score,50%_similarity_score,75%_similarity_score,mean_exact_match,std_exact_match,max_exact_match,exact_match_1,exact_match_2,exact_match_3,exact_match_4,exact_match_5,exact_match_6,exact_match_7,exact_match_8,exact_match_9,exact_match_10,exact_match_11,exact_match_12,exact_match_13,exact_match_14,exact_match_15,exact_match_18,exact_match_23,exact_match_54,exact_match_0,exact_match_16,exact_match_17,exact_match_19,exact_match_20,exact_match_21,exact_match_22,exact_match_25,exact_match_32,exact_match_39,exact_match_34,exact_match_37,exact_match_30,exact_match_33,exact_match_26,exact_match_29,exact_match_53,exact_match_27,exact_match_24,exact_match_28,exact_match_36,exact_match_38,exact_match_31,exact_match_35,exact_match_40,exact_match_42,exact_match_43,exact_match_46,exact_match_48,exact_match_52,exact_match_60,exact_match_64
gpt2-large,1E-07,0.4,14,False,19.4686,0.748614786139733,0.214895413695346,-0.084739536046982,0.607672348618507,0.799303591251373,0.930665493011475,0.806141176470588,1.19883506551843,15,19155,8820,3349,1514,702,356,174,103,42,18,11,10,4,2,1,,,,23345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-05,0.4,4,False,29.0891,0.764071992524669,0.205744796118967,-0.098447248339653,0.633342027664185,0.812429755926132,0.937622725963593,1.16235294117647,1.61660776374502,18,22739,12332,6388,3474,1919,1069,599,368,204,123,74,53,25,15,9,1,,,19761,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-07,0.4,2,False,19.5321,0.749555170995468,0.214121099370376,-0.084739536046982,0.608791142702103,0.799483716487885,0.930931642651558,0.810305882352941,1.2130288533739,21,19150,8869,3379,1549,717,360,185,106,47,25,17,15,6,4,3,,,,23350,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-07,0.4,4,False,19.3828,0.750261241585093,0.213469512475697,-0.084739536046982,0.611337453126907,0.799930840730667,0.930627971887588,0.817529411764706,1.22104517948414,21,19230,8958,3434,1597,738,366,188,108,50,26,17,14,6,4,3,,,,23270,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-07,0.4,5,False,19.3902,0.750513888249086,0.213245538605193,-0.07506588101387,0.612148642539978,0.80010849237442,0.930724859237671,0.821223529411765,1.2304678252123,21,19250,8982,3471,1613,752,377,199,116,55,29,20,15,7,5,4,,,,23250,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-07,0.4,1,False,19.7219,0.748516118519479,0.214963598762559,-0.084739536046982,0.607484638690949,0.799234807491303,0.930586352944374,0.806023529411765,1.19900248327647,15,19151,8815,3353,1519,699,353,174,102,40,20,12,11,4,2,1,,,,23349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-06,0.4,3,True,19.3613,0.749924346461169,0.213572169135273,-0.064775362610817,0.61007796227932,0.800239682197571,0.930554166436196,0.851882352941176,1.25035677547411,20,19707,9258,3829,1739,832,416,202,125,48,19,11,9,3,,,,,,22793,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-05,0.4,4,True,26.1443,0.760794783777831,0.207603793066573,-0.063529416918755,0.627499014139175,0.809349179267883,0.936481803655624,1.09903529411765,1.54594384183384,17,22242,11702,5860,3094,1657,922,514,296,164,98,60,47,24,14,8,,,,20258,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-05,0.7,4,False,25.5878,0.759795735261589,0.207520852377794,-0.074585258960724,0.626514986157417,0.807895034551621,0.935414984822273,1.06967058823529,1.52002334238382,20,21856,11402,5648,2968,1576,875,481,284,148,87,52,38,20,10,6,,,,20644,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-06,0.7,3,False,19.5399,0.754065059141683,0.21015866895425,-0.077993229031563,0.616745322942734,0.802340537309647,0.932228848338127,0.890305882352941,1.30525011983382,21,20122,9652,4110,1943,934,494,264,152,75,35,24,17,6,3,,,,,22378,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-06,0.7,4,False,19.6488,0.753883498915877,0.210636215763358,-0.077993229031563,0.616843357682228,0.802292943000793,0.932351052761078,0.8972,1.31402921869888,21,20186,9721,4177,1980,956,511,274,158,74,35,24,18,7,3,,,,,22314,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-06,0.7,5,False,19.6912,0.753732210880803,0.21073600332214,-0.077993229031563,0.616856634616852,0.802270174026489,0.932328850030899,0.900682352941177,1.31956785681172,21,20218,9752,4203,1998,968,521,282,164,76,37,25,18,7,3,,,,,22282,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-06,0.7,1,False,18.9268,0.752391465891416,0.21212873208987,-0.060376733541489,0.61388373374939,0.801420569419861,0.9317227602005,0.861505882352941,1.27301812933469,21,19765,9358,3865,1812,868,443,225,131,59,31,21,16,6,4,3,,,,22735,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-07,0.7,2,False,19.4323,0.749084379870543,0.215325917170631,-0.109923109412193,0.608467981219292,0.800518333911896,0.93101255595684,0.823317647058823,1.22099075518173,15,19358,8834,3640,1634,762,396,188,100,40,16,,9,3,,1,,,,23142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-07,0.7,4,False,19.24,0.74952020025559,0.214598668863646,-0.109923109412193,0.609150424599648,0.79989704489708,0.930682554841042,0.832,1.22541691965594,13,19472,9000,3680,1675,776,397,187,103,38,14,,8,2,,,,,,23028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-07,0.7,6,False,19.066,0.750024051048881,0.214282349091703,-0.075282104313374,0.609811812639236,0.800957530736923,0.930999085307121,0.836870588235294,1.23571889806933,14,19510,9082,3673,1694,798,407,198,115,42,20,13,10,4,1,,,,,22990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,1E-07,0.7,10,False,19.0157,0.775390512708476,0.202281711335924,-0.071775317192078,0.648719221353531,0.82412314414978,0.947303026914597,1.78964705882353,2.2848486382574,30,27080,17400,11050,7131,4664,3048,1954,1253,798,519,347,234,155,114,81,34,6,,15420,61,44,26,18,13,12,4,,,,,1,,3,2,,,,,,,,,,,,,,,,
gpt2-large,5E-05,0.7,4,False,31.4315,0.769571584003857,0.203336355180245,-0.085581637918949,0.641896173357964,0.817420363426209,0.940994948148727,1.36816470588235,1.83550407195703,22,24457,14181,8012,4656,2760,1631,926,565,340,218,142,92,54,38,25,10,,,18043,20,13,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-07,0.7,2,False,18.8437,0.751835820064409,0.212850891174213,-0.075282104313374,0.614243745803833,0.801747560501099,0.931661665439606,0.847388235294118,1.2527403322544,16,19607,9225,3727,1746,832,420,213,122,53,28,19,14,4,2,,,,,22893,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-07,0.7,4,False,18.9652,0.752517572121432,0.211801620896606,-0.07098575681448,0.614886209368706,0.801185965538025,0.931640028953552,0.864823529411765,1.27336545871062,21,19812,9413,3898,1831,865,443,225,126,60,30,20,15,5,3,,,,,22688,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-07,0.7,5,False,19.0006,0.752905862553155,0.211411485201898,-0.07098575681448,0.615564823150635,0.801031947135925,0.931623607873917,0.868847058823529,1.27818425681643,21,19864,9448,3927,1850,881,456,229,129,60,30,20,15,5,3,,,,,22636,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-07,0.7,1,False,18.9241,0.751171527472401,0.213408232030948,-0.075282104313374,0.612027406692505,0.801279157400131,0.931767076253891,0.843105882352941,1.24652348406942,16,19575,9146,3704,1732,821,422,208,119,45,22,15,12,5,3,2,,,,22925,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-05,0.7,4,True,33.7254,0.767943224651191,0.20462605374099,-0.066705539822578,0.637033253908157,0.816373109817505,0.941556081175804,1.37454117647059,1.8619251284503,22,24447,14161,7955,4689,2814,1699,1000,606,360,233,148,95,65,42,29,13,,,18053,25,19,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-large,5E-07,0.7,2,True,19.0255,0.751978343337478,0.212760918970806,-0.060376733541489,0.613533928990364,0.801880985498428,0.931968986988068,0.863223529411765,1.25549610205733,13,19898,9359,3929,1813,864,429,199,112,43,17,12,10,2,,,,,,22602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium,1E-05,1,13,False,16.9957,0.758876890176841,0.20895202072461,-0.099505260586739,0.624805927276611,0.808576226234436,0.935783326625824,0.958352941176471,1.45463478875824,54,20689,9772,4739,2478,1318,724,411,228,129,78,48,33,22,10,6,,,1,21811,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium,1E-05,1,4,False,17.2607,0.756247431633731,0.210278793515278,-0.099505260586739,0.620025843381882,0.807276487350464,0.934270232915878,0.895764705882353,1.34923122399795,15,20098,9120,4288,2151,1111,592,313,172,98,56,31,21,13,5,1,,,,22402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium,1E-05,1,9,False,17.0056,0.75846508351022,0.209219371111031,-0.099505260586739,0.624735966324806,0.808372020721435,0.935233011841774,0.950752941176471,1.44313391446934,54,20606,9701,4688,2444,1292,705,399,225,125,75,45,32,20,8,3,,,1,21894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium,5E-05,1,1,False,17.6602,0.757760465037779,0.209409611572339,-0.04711727425456,0.622918054461479,0.807832926511765,0.934234589338303,0.904047058823529,1.37989435242876,54,20129,9221,4359,2235,1137,592,314,174,98,53,32,20,12,5,2,,,1,22371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium,5E-05,1,2,False,17.1745,0.760251136469096,0.207584175121092,-0.080161668360233,0.626364156603813,0.808993190526962,0.936231166124344,0.983176470588235,1.47460978408053,53,20981,10037,4973,2611,1381,758,415,248,134,90,45,30,21,14,6,,,,21519,3,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
gpt2-medium,5E-05,1,3,False,17.1357,0.762868430763527,0.206375446356281,-0.07481761276722,0.631660521030426,0.812464654445648,0.937179982662201,1.04524705882353,1.52930840724573,23,21603,10691,5420,2922,1626,914,521,298,166,104,56,37,27,15,7,2,1,,20897,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium,5E-05,1,4,False,17.2404,0.764725211146112,0.205574990497265,-0.059503301978111,0.633608102798462,0.813762426376343,0.938109546899796,1.09872941176471,1.5952892146858,54,22124,11298,5853,3239,1790,1005,567,317,176,108,64,42,28,17,11,,,1,20376,6,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
gpt2-medium,5E-05,1,6,False,18.0225,0.767218945959736,0.205268367476045,-0.090873062610626,0.637873187661171,0.816456019878387,0.940430074930191,1.18096470588235,1.69844278266839,54,22815,12036,6488,3667,2067,1236,739,427,251,160,88,59,44,29,17,4,,1,19685,12,7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
gpt2-medium,5E-06,1,10,False,17.4296,0.755682053781608,0.210636186123896,-0.099505260586739,0.619707942008972,0.805521667003632,0.934385821223259,0.882917647058824,1.35668487654663,54,19942,8985,4163,2084,1064,570,302,161,89,52,31,22,13,5,2,,,1,22558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium,5E-06,1,15,False,17.1903,0.756478666499717,0.210338012769899,-0.099505260586739,0.620747417211533,0.805907189846039,0.934407398104668,0.909011764705882,1.39085316996153,54,20201,9250,4375,2230,1154,621,329,182,104,62,35,23,15,6,,,,1,22299,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-medium,5E-06,1,20,False,17.1495,0.756992518708482,0.210039381464026,-0.099505260586739,0.621821895241737,0.806346297264099,0.934921026229858,0.917152941176471,1.39890084944386,54,20295,9344,4437,2264,1177,634,341,189,109,64,38,26,15,6,,,,1,22205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt2-xl,1E-05,1,1,False,14.8584,0.762753139336582,0.206701128131118,-0.040481872856617,0.630321711301804,0.81268310546875,0.93712405860424,0.972729411764706,1.4644937943375,54,20912,9922,4864,2561,1344,736,393,228,133,80,44,31,20,12,7,3,,1,21588,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
gpt2-xl,1E-05,1,2,False,14.5831,0.764551708388515,0.206054658277571,-0.0479756295681,0.633976235985756,0.813220143318176,0.938436791300774,1.05531764705882,1.5567641532542,39,21667,10785,5512,2971,1642,920,524,312,176,113,68,47,32,21,14,4,,,20833,8,5,3,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,
gpt2-xl,1E-05,1,3,False,14.6886,0.768180759602971,0.20476967352574,-0.043192606419325,0.639779672026634,0.818002820014954,0.940553486347198,1.13192941176471,1.62953567673731,39,22455,11583,6124,3354,1882,1091,630,373,218,142,82,55,37,23,16,3,,,20045,11,6,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
